Temperature (C),Apparent Temperature (C),Humidity
12.75555556,12.75555556,0.84
12.37222222,12.37222222,0.86
11.18333333,11.18333333,0.93
11.66666667,11.66666667,0.9
8.977777778,7.366666667,0.95
10.57777778,10.57777778,0.93
10.53333333,10.53333333,0.89
10.58888889,10.58888889,0.87
9.983333333,9.283333333,0.89
11.02222222,11.02222222,0.86
13.53888889,13.53888889,0.75
13.88888889,13.88888889,0.68
15,15,0.67
17.18333333,17.18333333,0.57
16.2,16.2,0.62
17.75,17.75,0.56
18.40555556,18.40555556,0.54
17.82222222,17.82222222,0.59
17.31111111,17.31111111,0.57
17.50555556,17.50555556,0.55
17.26666667,17.26666667,0.54
15.13888889,15.13888889,0.61
13.25,13.25,0.69
12.29444444,12.29444444,0.72
10.7,10.7,0.79
9.855555556,9.388888889,0.85
9.522222222,7.861111111,0.88
8.405555556,8.405555556,0.92
13.01111111,13.01111111,0.82
7.733333333,7.733333333,0.96
6.138888889,6.138888889,0.96
6.472222222,6.472222222,0.95
6.627777778,6.627777778,0.96
8.688888889,8.688888889,0.93
11.99444444,11.99444444,0.81
13.76666667,13.76666667,0.78
15.08888889,15.08888889,0.77
16.45555556,16.45555556,0.68
17.31111111,17.31111111,0.62
17.87222222,17.87222222,0.64
19.03888889,19.03888889,0.47
18.97777778,18.97777778,0.51
19.00555556,19.00555556,0.55
19.01111111,19.01111111,0.53
17.86666667,17.86666667,0.64
17.26666667,17.26666667,0.62
16.18888889,16.18888889,0.61
14.88333333,14.88333333,0.72
14.32777778,14.32777778,0.75
14.51111111,14.51111111,0.75
14.37222222,14.37222222,0.75
14.87777778,14.87777778,0.72
10.40555556,10.40555556,0.92
12.82222222,12.82222222,0.83
12.8,12.8,0.85
12.82777778,12.82777778,0.86
12.26666667,12.26666667,0.85
12.26666667,12.26666667,0.85
12.18333333,12.18333333,0.82
12.17222222,12.17222222,0.8
12.71111111,12.71111111,0.83
15.60555556,15.60555556,0.78
16.02222222,16.02222222,0.78
17.2,17.2,0.67
17.21666667,17.21666667,0.71
17.82777778,17.82777778,0.69
17.82777778,17.82777778,0.69
17.73333333,17.73333333,0.69
16.27222222,16.27222222,0.71
13.16666667,13.16666667,0.93
13.25555556,13.25555556,0.93
13.01111111,13.01111111,0.93
12.45555556,12.45555556,0.91
12.48888889,12.48888889,0.9
9.555555556,8.85,0.8
10.62222222,10.62222222,0.79
8.722222222,8.722222222,0.93
10.53333333,10.53333333,0.77
9.444444444,8.705555556,0.83
9.888888889,9.327777778,0.83
10.36666667,10.36666667,0.78
8.888888889,7.233333333,0.89
9.977777778,8.994444444,0.84
12.2,12.2,0.73
13.96111111,13.96111111,0.67
14.94444444,14.94444444,0.67
16.18333333,16.18333333,0.71
16.36666667,16.36666667,0.61
17.37222222,17.37222222,0.57
17.67222222,17.67222222,0.51
17.72222222,17.72222222,0.53
16.23888889,16.23888889,0.61
14.06666667,14.06666667,0.71
13.95555556,13.95555556,0.76
12.28888889,12.28888889,0.8
10.02222222,10.02222222,0.86
9.377777778,8.65,0.86
9.416666667,9.416666667,0.9
11.82777778,11.82777778,0.92
10.76111111,10.76111111,0.91
12.15555556,12.15555556,0.95
9.672222222,9.188888889,0.94
8.15,7.15,0.94
10.2,10.2,0.95
10.11666667,10.11666667,0.99
10.16111111,10.16111111,0.99
11.24444444,11.24444444,0.98
12.24444444,12.24444444,0.99
13.91111111,13.91111111,0.92
15.61666667,15.61666667,0.82
15.07222222,15.07222222,0.86
15.07222222,15.07222222,0.82
14.26666667,14.26666667,0.87
16.01666667,16.01666667,0.81
15.02777778,15.02777778,0.86
13.94444444,13.94444444,0.89
12.91666667,12.91666667,0.95
12.89444444,12.89444444,0.95
12.4,12.4,0.98
12.26666667,12.26666667,0.99
12.22222222,12.22222222,0.96
11.25,11.25,0.96
11.52777778,11.52777778,0.96
11.53888889,11.53888889,0.96
9.438888889,8.85,0.96
11.43888889,11.43888889,0.96
11.39444444,11.39444444,0.96
11.52777778,11.52777778,0.96
11.95,11.95,0.93
11.97222222,11.97222222,1
12.63333333,12.63333333,0.96
12.75555556,12.75555556,0.96
13.84444444,13.84444444,0.9
13.17222222,13.17222222,0.94
15.06666667,15.06666667,0.86
17.24444444,17.24444444,0.75
16.31666667,16.31666667,0.76
17.38333333,17.38333333,0.74
15.27222222,15.27222222,0.76
17.45555556,17.45555556,0.72
16.22222222,16.22222222,0.77
15.08333333,15.08333333,0.82
13.99444444,13.99444444,0.88
12.17222222,12.17222222,0.92
11.08888889,11.08888889,0.95
11.09444444,11.09444444,0.95
9.883333333,9.883333333,0.96
9.355555556,8.633333333,0.96
9.861111111,9.861111111,0.96
8.272222222,8.272222222,0.99
8.866666667,8.866666667,0.96
8.816666667,8.816666667,0.96
7.155555556,7.155555556,1
8.85,8.85,0.99
11.17777778,11.17777778,0.93
12.38888889,12.38888889,0.98
14.14444444,14.14444444,0.88
17.1,17.1,0.72
18.93888889,18.93888889,0.64
17.91666667,17.91666667,0.68
19.98333333,19.98333333,0.53
20.07222222,20.07222222,0.62
20.07222222,20.07222222,0.56
20.08333333,20.08333333,0.58
19.08888889,19.08888889,0.63
17.45,17.45,0.62
15.56666667,15.56666667,0.74
12.49444444,12.49444444,0.91
12.24444444,12.24444444,0.89
11.41666667,11.41666667,0.92
10.55555556,10.55555556,0.95
10.46666667,10.46666667,0.93
10.25,10.25,0.95
9.355555556,9.355555556,0.96
8.311111111,8.311111111,0.96
8.811111111,8.811111111,0.96
8.733333333,7.933333333,0.93
11.93333333,11.93333333,0.93
14.51666667,14.51666667,0.84
18.73333333,18.73333333,0.68
20.02777778,20.02777778,0.6
21.03888889,21.03888889,0.55
20.73888889,20.73888889,0.46
22.31666667,22.31666667,0.48
22.11111111,22.11111111,0.5
22.73333333,22.73333333,0.38
22.77777778,22.77777778,0.37
21.21666667,21.21666667,0.41
20.18333333,20.18333333,0.45
18.01111111,18.01111111,0.68
17.42222222,17.42222222,0.65
13.96111111,13.96111111,0.82
13.28888889,13.28888889,0.89
12.32222222,12.32222222,0.89
11.11666667,11.11666667,0.95
10.53333333,10.53333333,0.95
12.38333333,12.38333333,0.8
9.861111111,9.861111111,0.96
8.872222222,8.872222222,0.95
8.672222222,8.672222222,0.94
7.688888889,7.688888889,1
10.91111111,10.91111111,0.99
14.83888889,14.83888889,0.82
18.8,18.8,0.65
21.09444444,21.09444444,0.49
22.02777778,22.02777778,0.49
22.82777778,22.82777778,0.47
22.91666667,22.91666667,0.37
23.91666667,23.91666667,0.37
23.91111111,23.91111111,0.4
23.93333333,23.93333333,0.37
23.91666667,23.91666667,0.32
22.82222222,22.82222222,0.44
21.22777778,21.22777778,0.48
19.07777778,19.07777778,0.51
17.06111111,17.06111111,0.63
14.90555556,14.90555556,0.72
13.08333333,13.08333333,0.87
12.71111111,12.71111111,0.89
12.12777778,12.12777778,0.89
11.81111111,11.81111111,0.84
12.01666667,12.01666667,0.8
12.04444444,12.04444444,0.8
10.62777778,10.62777778,0.86
9.911111111,8.688888889,0.99
12.55555556,12.55555556,0.9
15.00555556,15.00555556,0.78
17.33888889,17.33888889,0.74
19.1,19.1,0.67
21.26111111,21.26111111,0.57
22.41111111,22.41111111,0.54
22.93888889,22.93888889,0.5
23.92777778,23.92777778,0.47
23.96111111,23.96111111,0.47
23.96111111,23.96111111,0.38
23.11111111,23.11111111,0.42
22.82222222,22.82222222,0.44
21.11111111,21.11111111,0.47
18.18888889,18.18888889,0.58
16.01666667,16.01666667,0.72
15.46666667,15.46666667,0.72
14.60555556,14.60555556,0.76
13.31111111,13.31111111,0.82
12.73333333,12.73333333,0.83
13.78888889,13.78888889,0.77
10.57777778,10.57777778,0.88
10.48333333,10.48333333,0.92
10.28888889,10.28888889,0.91
9.972222222,9.972222222,0.92
13.63888889,13.63888889,0.9
16.73888889,16.73888889,0.74
18.83888889,18.83888889,0.65
21.16111111,21.16111111,0.59
22.58888889,22.58888889,0.53
22.89444444,22.89444444,0.48
24.00555556,24.00555556,0.47
24.00555556,24.00555556,0.35
23.97777778,23.97777778,0.44
25.04444444,25.04444444,0.32
24.07777778,24.07777778,0.35
22.38333333,22.38333333,0.45
21.20555556,21.20555556,0.52
18.26111111,18.26111111,0.62
17.2,17.2,0.67
15.99444444,15.99444444,0.75
15.96111111,15.96111111,0.79
15.44444444,15.44444444,0.72
14.37222222,14.37222222,0.75
13.60555556,13.60555556,0.9
12.82222222,12.82222222,0.82
12.75,12.75,0.83
11.41666667,11.41666667,0.92
12.33333333,12.33333333,0.86
14.90555556,14.90555556,0.78
15.89444444,15.89444444,0.74
17.22777778,17.22777778,0.72
17.82777778,17.82777778,0.73
17.91666667,17.91666667,0.72
19.05555556,19.05555556,0.67
20.14444444,20.14444444,0.67
20.26111111,20.26111111,0.62
21.20555556,21.20555556,0.62
21.25555556,21.25555556,0.67
20.23333333,20.23333333,0.66
19.07777778,19.07777778,0.71
17.94444444,17.94444444,0.77
15.49444444,15.49444444,0.82
14.14444444,14.14444444,0.89
14.53888889,14.53888889,0.86
14.13888889,14.13888889,0.86
13.4,13.4,0.9
13.42777778,13.42777778,0.9
11.58888889,11.58888889,0.74
14.42222222,14.42222222,0.83
13.91666667,13.91666667,0.86
13.4,13.4,0.9
13.86666667,13.86666667,0.9
14.90555556,14.90555556,0.84
15.93333333,15.93333333,0.74
17.12777778,17.12777778,0.65
18.75,18.75,0.58
18.96111111,18.96111111,0.6
19.99444444,19.99444444,0.54
21.11111111,21.11111111,0.5
21.09444444,21.09444444,0.46
21.17777778,21.17777778,0.43
21.22777778,21.22777778,0.41
20.1,20.1,0.45
19.02777778,19.02777778,0.51
17.85,17.85,0.59
16.26111111,16.26111111,0.66
14.98333333,14.98333333,0.72
14.46666667,14.46666667,0.65
13.94444444,13.94444444,0.6
12.31666667,12.31666667,0.65
11.76111111,11.76111111,0.66
10.82777778,10.82777778,0.62
10.13888889,10.13888889,0.73
10.62777778,10.62777778,0.71
10.60555556,10.60555556,0.69
10.07222222,10.07222222,0.71
11.16111111,11.16111111,0.71
12.88888889,12.88888889,0.67
15.05,15.05,0.6
15.16111111,15.16111111,0.59
16.27222222,16.27222222,0.56
17.8,17.8,0.46
17.93888889,17.93888889,0.46
18.85555556,18.85555556,0.41
17.98888889,17.98888889,0.43
17.96111111,17.96111111,0.51
17.36111111,17.36111111,0.47
16.25,16.25,0.52
14.12222222,14.12222222,0.47
12.95,12.95,0.55
12.24444444,12.24444444,0.52
11.68888889,11.68888889,0.57
11.15555556,11.15555556,0.59
9.216666667,8.627777778,0.9
8.683333333,8.2,0.9
9.188888889,7.3,0.77
8.594444444,7.788888889,0.93
7.505555556,7.505555556,0.93
6.216666667,4.194444444,0.95
5.855555556,5.855555556,0.93
5.933333333,5.933333333,1
10.40555556,10.40555556,1
12.54444444,12.54444444,0.78
13.86111111,13.86111111,0.77
15.97777778,15.97777778,0.63
17.26666667,17.26666667,0.57
17.84444444,17.84444444,0.5
16.42777778,16.42777778,0.54
17.77777778,17.77777778,0.46
17.84444444,17.84444444,0.45
17.3,17.3,0.5
15.18333333,15.18333333,0.65
13.00555556,13.00555556,0.7
12.69444444,12.69444444,0.74
12.19444444,12.19444444,0.72
12.08333333,12.08333333,0.71
10.61666667,10.61666667,0.74
11.6,11.6,0.57
11.02222222,11.02222222,0.6
11.88888889,11.88888889,0.6
10.41666667,10.41666667,0.64
10.3,10.3,0.67
9.483333333,7.5,0.72
9.772222222,7.933333333,0.68
10.93333333,10.93333333,0.67
11.65555556,11.65555556,0.66
13.93888889,13.93888889,0.55
15.02777778,15.02777778,0.54
16.03888889,16.03888889,0.47
15.22777778,15.22777778,0.51
16.20555556,16.20555556,0.44
17.3,17.3,0.43
17.77777778,17.77777778,0.43
17.8,17.8,0.38
17.26111111,17.26111111,0.39
17.2,17.2,0.38
15.02222222,15.02222222,0.45
13.92777778,13.92777778,0.47
12.36666667,12.36666667,0.57
12.29444444,12.29444444,0.59
12.78888889,12.78888889,0.56
9.533333333,8.677777778,0.76
9.972222222,7.966666667,0.71
4.911111111,4.911111111,0.91
7.916666667,5.855555556,0.78
7.383333333,4.755555556,0.82
7.972222222,5.894444444,0.82
8.816666667,6.538888889,0.84
8.794444444,5.555555556,0.84
7.888888889,4.088888889,0.89
7.8,4.333333333,0.96
7.822222222,5.35,0.95
7.944444444,6.233333333,0.95
8.077777778,5.455555556,0.94
10.22777778,10.22777778,0.81
11.36111111,11.36111111,0.74
12.45,12.45,0.7
12.91666667,12.91666667,0.67
12.55,12.55,0.62
12.38333333,12.38333333,0.69
10.22777778,10.22777778,0.75
9.227777778,7.811111111,0.78
7.827777778,6.622222222,0.87
6.677777778,5.727777778,0.91
6.122222222,4.938888889,0.91
5.327777778,4.15,0.95
4.355555556,1.705555556,0.95
9.272222222,9.272222222,0.89
4.261111111,2.866666667,0.92
3.216666667,1.666666667,0.92
3.905555556,2.516666667,0.92
2.711111111,0.472222222,0.96
3.816666667,2.644444444,1
6.883333333,5.105555556,0.93
8.938888889,6.533333333,0.88
11.20555556,11.20555556,0.79
12.85,12.85,0.7
13.96111111,13.96111111,0.63
14.97777778,14.97777778,0.51
14.02777778,14.02777778,0.57
15.02222222,15.02222222,0.51
15.04444444,15.04444444,0.54
15.08888889,15.08888889,0.5
14.95,14.95,0.51
13.81666667,13.81666667,0.59
12.91666667,12.91666667,0.64
13.83888889,13.83888889,0.59
12.75555556,12.75555556,0.69
12.65,12.65,0.74
11.68888889,11.68888889,0.8
10.62777778,10.62777778,0.88
5.666666667,3.755555556,0.91
10.05,10.05,0.92
9.977777778,9.977777778,0.93
9.777777778,9.377777778,0.95
8.661111111,8.661111111,0.99
7.55,4.261111111,0.95
7.233333333,4.683333333,0.93
6.044444444,2.011111111,0.92
6.094444444,2.233333333,0.85
6.116666667,2.25,0.82
6.066666667,2.705555556,0.86
6.038888889,2.711111111,0.93
6.888888889,3.205555556,0.93
7.061111111,4.15,0.86
6.038888889,2.344444444,0.93
6.072222222,2.305555556,0.93
5.044444444,1.055555556,0.93
5.022222222,1.944444444,0.92
5.033333333,1.816666667,0.93
5,2.438888889,0.93
4.977777778,1.877777778,0.93
4.933333333,1.538888889,0.87
4.466666667,1.277777778,0.92
4.444444444,1.194444444,0.92
4.011111111,1.044444444,0.83
4.905555556,1.844444444,0.86
4.883333333,2.35,0.83
4.388888889,1.277777778,0.89
4.838888889,1.288888889,0.86
4.811111111,1.483333333,0.83
4.944444444,1.244444444,0.84
7.2,4.166666667,0.65
7.777777778,5.022222222,0.67
8.727777778,6.65,0.64
8.983333333,6.055555556,0.57
10,7.1,0.5
10.09444444,10.09444444,0.55
11.06111111,11.06111111,0.46
10.13888889,10.13888889,0.42
11.01111111,11.01111111,0.42
10.11666667,10.11666667,0.49
7.916666667,7.916666667,0.57
7.333333333,7.333333333,0.63
5.05,5.05,0.75
3.933333333,2.422222222,0.76
4.094444444,2.583333333,0.77
3.8,2.288888889,0.82
2.688888889,-0.155555556,0.85
5.066666667,3.938888889,0.81
2.6,0.961111111,0.85
1.583333333,-0.161111111,0.92
2.155555556,2.155555556,0.9
0.955555556,0.955555556,0.92
0.955555556,0.955555556,0.92
5.594444444,5.594444444,0.82
9.822222222,7.777777778,0.66
11.07222222,11.07222222,0.54
11.05555556,11.05555556,0.48
12.24444444,12.24444444,0.43
12.85,12.85,0.41
12.88888889,12.88888889,0.38
12.91666667,12.91666667,0.4
13.88888889,13.88888889,0.46
13.02222222,13.02222222,0.48
12.38333333,12.38333333,0.49
10.20555556,10.20555556,0.57
9.144444444,8.088888889,0.62
7.827777778,6.1,0.68
7.733333333,6.672222222,0.65
7.144444444,6.138888889,0.69
6.016666667,4.783333333,0.74
5.461111111,4.077777778,0.76
8.244444444,5.988888889,0.72
3.838888889,2.194444444,0.82
2.244444444,2.244444444,0.91
2.022222222,0.227777778,0.93
2.172222222,-0.866666667,0.92
3.661111111,0.911111111,0.89
6.111111111,3.638888889,0.79
10.00555556,10.00555556,0.66
12.24444444,12.24444444,0.52
12.93888889,12.93888889,0.5
13.98333333,13.98333333,0.5
15.09444444,15.09444444,0.44
16.25,16.25,0.43
17.26666667,17.26666667,0.41
17.28888889,17.28888889,0.38
17.38888889,17.38888889,0.37
17.28888889,17.28888889,0.38
15.08888889,15.08888889,0.44
11.71111111,11.71111111,0.58
11.16111111,11.16111111,0.61
10.02777778,10.02777778,0.68
10.13888889,10.13888889,0.65
21.01666667,21.01666667,0.87
19.44444444,19.44444444,0.9
20.72222222,20.72222222,0.81
18.79444444,18.79444444,0.93
17.73333333,17.73333333,0.93
17.60555556,17.60555556,0.95
18.73333333,18.73333333,0.93
22.55555556,22.55555556,0.8
24.76111111,24.76111111,0.7
27.17222222,28.03333333,0.56
28.91111111,30.13888889,0.55
30.95555556,31.17222222,0.42
32.17222222,32.22222222,0.38
32.12777778,31.27222222,0.32
31.98333333,31.41111111,0.35
32.53888889,32.68888889,0.38
31.97777778,32.16111111,0.4
32.01111111,32.51111111,0.41
30.94444444,30.75,0.39
28.57222222,29.15,0.5
27.09444444,28.15,0.59
24.69444444,24.69444444,0.65
24.13888889,24.13888889,0.7
23.12222222,23.12222222,0.77
15.56111111,15.56111111,0.92
15.49444444,15.49444444,0.87
16.53888889,16.53888889,0.91
13.8,13.8,0.9
13.31666667,13.31666667,0.9
12.60555556,12.60555556,0.92
12.32777778,12.32777778,0.93
14.96666667,14.96666667,0.87
16.26111111,16.26111111,0.87
16.25,16.25,0.92
18.88888889,18.88888889,0.89
21.35,21.35,0.76
21.20555556,21.20555556,0.76
22.33888889,22.33888889,0.72
23.03333333,23.03333333,0.66
23.91111111,23.91111111,0.62
24.97777778,24.97777778,0.51
23.8,23.8,0.58
23.59444444,23.59444444,0.53
22.50555556,22.50555556,0.68
20.01666667,20.01666667,0.78
19.91111111,19.91111111,0.74
19.35555556,19.35555556,0.76
17.88333333,17.88333333,0.85
17.25,17.25,0.89
16.62777778,16.62777778,0.92
15.84444444,15.84444444,0.84
17,17,0.92
17.06666667,17.06666667,0.86
16.50555556,16.50555556,0.79
14.98333333,14.98333333,0.83
16.02222222,16.02222222,0.81
16.16111111,16.16111111,0.81
18.84444444,18.84444444,0.68
21.11666667,21.11666667,0.68
22.50555556,22.50555556,0.62
23.79444444,23.79444444,0.54
23.88888889,23.88888889,0.51
25.83333333,25.83333333,0.44
25.92777778,25.92777778,0.43
25,25,0.42
24.94444444,24.94444444,0.43
24.92777778,24.92777778,0.45
22.8,22.8,0.51
19.33888889,19.33888889,0.7
17.80555556,17.80555556,0.78
17.78333333,17.78333333,0.75
16.48888889,16.48888889,0.79
15.69444444,15.69444444,0.83
15.62777778,15.62777778,0.81
16.21111111,16.21111111,0.93
15.57777778,15.57777778,0.84
15.57777778,15.57777778,0.81
15.60555556,15.60555556,0.81
15.05,15.05,0.83
17.06666667,17.06666667,0.73
17.48333333,17.48333333,0.72
17.66666667,17.66666667,0.71
18.8,18.8,0.69
19.68333333,19.68333333,0.67
18.82222222,18.82222222,0.78
20,20,0.77
21.15,21.15,0.72
23.65555556,23.65555556,0.67
23.61666667,23.61666667,0.6
23.81666667,23.81666667,0.62
22.03888889,22.03888889,0.7
19.95,19.95,0.7
18.92222222,18.92222222,0.8
17.26666667,17.26666667,0.88
16.17777778,16.17777778,0.9
15.83333333,15.83333333,0.93
16.73333333,16.73333333,0.93
16.71111111,16.71111111,0.97
16.26666667,16.26666667,0.97
16.13888889,16.13888889,0.97
16.08888889,16.08888889,0.97
15.55555556,15.55555556,0.96
14.51666667,14.51666667,1
17.08888889,17.08888889,0.99
17.66666667,17.66666667,0.96
19.79444444,19.79444444,0.85
22.01666667,22.01666667,0.74
21.13888889,21.13888889,0.73
21.04444444,21.04444444,0.73
18.93888889,18.93888889,0.89
18.91666667,18.91666667,0.9
20.05,20.05,0.78
21.06666667,21.06666667,0.73
20.05,20.05,0.78
20,20,0.83
18.86666667,18.86666667,0.9
17.95555556,17.95555556,0.96
17.71111111,17.71111111,0.97
17.73333333,17.73333333,0.93
16.79444444,16.79444444,0.97
16.66666667,16.66666667,0.97
16.16111111,16.16111111,0.97
17.01111111,17.01111111,0.91
16.11666667,16.11666667,0.97
16.11666667,16.11666667,0.97
15.55555556,15.55555556,0.96
14.00555556,14.00555556,1
16.11666667,16.11666667,0.93
16.05,16.05,0.93
16.21111111,16.21111111,0.99
17.80555556,17.80555556,0.89
18.88333333,18.88333333,0.84
20.18888889,20.18888889,0.77
22.26666667,22.26666667,0.67
22.35555556,22.35555556,0.7
23.86666667,23.86666667,0.54
23.88888889,23.88888889,0.58
22.95555556,22.95555556,0.56
22.47777778,22.47777778,0.58
20.85555556,20.85555556,0.7
19.16111111,19.16111111,0.82
17.73333333,17.73333333,0.84
18.23888889,18.23888889,0.81
17.81666667,17.81666667,0.88
17.71111111,17.71111111,0.84
17.2,17.2,0.9
15.30555556,15.30555556,0.9
16.55,16.55,0.93
16.09444444,16.09444444,0.96
15.55,15.55,0.93
14.93333333,14.93333333,0.93
17.08888889,17.08888889,0.93
18.65555556,18.65555556,0.85
19.81111111,19.81111111,0.79
21.06111111,21.06111111,0.73
22.20555556,22.20555556,0.63
22.75,22.75,0.57
23.79444444,23.79444444,0.54
23.48333333,23.48333333,0.51
23.96111111,23.96111111,0.53
24.95,24.95,0.5
23.95555556,23.95555556,0.53
23.95555556,23.95555556,0.5
23.86111111,23.86111111,0.54
19.26666667,19.26666667,0.75
17.28888889,17.28888889,0.87
16.62222222,16.62222222,0.93
16.67222222,16.67222222,0.87
15.07222222,15.07222222,0.93
14.51666667,14.51666667,0.93
17.84444444,17.84444444,0.8
14.44444444,14.44444444,0.93
13.88888889,13.88888889,0.96
14.43333333,14.43333333,0.9
14.92777778,14.92777778,0.87
17.04444444,17.04444444,0.82
18.78888889,18.78888889,0.78
21.16111111,21.16111111,0.73
23.86666667,23.86666667,0.62
24.96666667,24.96666667,0.56
26.13333333,26.13333333,0.47
27.22222222,27.26111111,0.44
